interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;3600.00;0_to_3600;2;0.81;4;14;-1024105863;0;0;0.81;16;0.35;4.41;75.95;7.06;0.85;12.76;3.76;0.00
0.00;3600.00;0_to_3600;0;0.28;2;5;-1106583870;0;0;0.28;7;0.13;13.36;92.06;7.10;0.85;11.66;12.37;0.00
0.00;3600.00;0_to_3600;4;40.73;4;65;-1238600634#0;0;0;40.73;65;1.97;1.17;77.71;4.73;0.57;12.63;0.10;0.00
0.00;3600.00;0_to_3600;8;19.65;1;288;-13853658;0;0;19.65;281;8.84;10.36;2989.83;4.56;0.82;565.81;9.31;58.00
0.00;3600.00;0_to_3600;3;3.18;1;51;-13853659#1;0;0;3.18;48;1.48;15.85;808.80;4.78;0.86;102.63;14.79;0.00
0.00;3600.00;0_to_3600;3;0.31;3;5;-13853663;0;0;0.31;5;0.15;20.19;158.88;7.38;0.89;16.92;19.35;0.00
0.00;3600.00;0_to_3600;2;0.20;0;5;-14118784#0;0;0;0.20;3;0.10;15.17;75.84;7.23;0.87;6.45;14.43;0.00
0.00;3600.00;0_to_3600;0;0.42;5;3;-14118784#1;0;0;0.42;8;0.19;6.31;45.92;5.55;0.67;12.84;5.56;0.00
0.00;3600.00;0_to_3600;2;0.49;3;9;-14858868;0;0;0.49;10;0.23;11.43;134.39;7.12;0.85;15.74;10.59;0.00
0.00;3600.00;0_to_3600;2;0.46;1;11;-150276003#0;0;0;0.46;10;0.22;11.88;141.40;7.68;0.92;13.34;11.20;0.00
0.00;3600.00;0_to_3600;1;0.22;1;5;-150276003#1;0;0;0.22;5;0.11;27.98;167.13;7.57;0.91;15.11;27.32;0.00
0.00;3600.00;0_to_3600;1;0.64;3;12;-15089551;0;0;0.64;14;0.29;7.01;102.42;7.09;0.85;12.88;6.20;0.00
0.00;3600.00;0_to_3600;25;5.41;2;109;-17073048#1;0;0;5.41;86;2.12;3.29;360.17;7.13;0.86;52.12;2.61;0.00
0.00;3600.00;0_to_3600;2;2.58;1;65;-17670100#1;0;0;2.58;64;1.22;12.39;817.02;7.50;0.90;74.36;11.73;0.00
0.00;3600.00;0_to_3600;2;2.50;3;61;-17670100#2;0;0;2.50;62;1.18;12.79;815.39;7.49;0.90;78.10;12.11;0.00
0.00;3600.00;0_to_3600;0;2.45;2;53;-231940830#2;0;0;2.45;55;1.19;27.70;1521.78;6.42;0.77;351.01;26.58;108.00
0.00;3600.00;0_to_3600;1;1.91;2;41;-236306864#4;0;0;1.91;42;0.91;16.59;711.48;6.55;0.79;150.42;15.63;41.00
