tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
70.00;395073288_0;125.11;7.37;15.00;0.60;1188284582#2_0;5.10;0.00;tripinfo_8 routing_8;55.00;8;1;411.54;0.94;0.00;13.67;DEFAULT_VEHTYPE;;1;3.00
92.00;839709054_0;133.62;15.13;74.00;0.20;410939625_0;5.10;0.00;tripinfo_41 routing_41;18.00;41;0;205.37;1.10;0.00;3.83;DEFAULT_VEHTYPE;;0;0.00
104.00;-36786445#2_0;50.71;8.19;36.00;0.00;17073048#0_0;5.10;0.00;tripinfo_20 routing_20;68.00;20;1;435.69;1.02;0.00;15.87;DEFAULT_VEHTYPE;;1;6.00
108.00;36801001#1_0;73.19;13.83;87.00;0.60;963479927#0_0;5.10;0.00;tripinfo_48 routing_48;21.00;48;1;253.26;1.09;0.00;4.09;DEFAULT_VEHTYPE;;0;0.00
122.00;1196782590#0_1;181.75;15.22;72.00;0.00;395800497#0_0;5.10;0.00;tripinfo_40 routing_40;50.00;40;0;248.83;1.18;0.00;33.30;DEFAULT_VEHTYPE;;1;24.00
125.00;31411680_0;75.80;8.58;60.00;0.60;1198625658_0;5.10;0.00;tripinfo_33 routing_33;65.00;33;1;536.42;1.18;0.00;9.07;DEFAULT_VEHTYPE;;0;0.00
141.00;856293285#1_0;473.70;16.01;98.00;0.80;31389787#2_0;5.10;0.00;tripinfo_54 routing_54;43.00;54;1;608.03;1.17;0.00;4.45;DEFAULT_VEHTYPE;;0;0.00
148.00;14858640_0;11.76;7.72;22.00;0.40;96016135_0;3.42;0.00;tripinfo_12 routing_12;126.00;12;1;935.42;1.05;0.00;29.93;DEFAULT_VEHTYPE;;2;9.00
152.00;40493418_0;100.62;7.61;49.00;0.40;4730624_0;5.10;0.00;tripinfo_27 routing_27;103.00;27;1;673.37;0.95;0.00;12.10;DEFAULT_VEHTYPE;;0;0.00
157.00;30239233#0_0;39.55;8.24;69.00;0.60;839709051_0;5.10;0.00;tripinfo_38 routing_38;88.00;38;1;1035.53;1.02;0.00;10.83;DEFAULT_VEHTYPE;;0;0.00
185.00;13853655#0_0;58.30;9.67;68.00;3.20;8152038_0;5.10;0.00;tripinfo_36 routing_36;117.00;36;1;895.61;1.17;0.00;14.47;DEFAULT_VEHTYPE;;0;0.00
187.00;-524150338#1_0;34.65;8.46;6.00;0.60;8384893#1_0;5.10;0.00;tripinfo_3 routing_3;181.00;3;1;1381.73;1.08;0.00;26.55;DEFAULT_VEHTYPE;;1;9.00
194.00;856293283_0;101.44;11.77;47.00;0.20;13654453_0;5.10;0.00;tripinfo_26 routing_26;147.00;26;1;1652.42;0.92;0.00;16.69;DEFAULT_VEHTYPE;;1;1.00
201.00;31512978#0_0;13.66;7.44;78.00;0.60;963479927#0_0;5.10;0.00;tripinfo_43 routing_43;123.00;43;1;1032.38;1.03;0.00;18.07;DEFAULT_VEHTYPE;;1;3.00
202.00;109398805_0;204.65;13.27;11.00;0.20;28575360_0;5.10;0.00;tripinfo_6 routing_6;191.00;6;1;1731.59;1.05;0.00;25.08;DEFAULT_VEHTYPE;;1;2.00
228.00;-28575360_0;55.32;5.49;8.00;0.80;29000804.26_0;5.10;0.00;tripinfo_4 routing_4;220.00;4;1;1577.12;1.03;0.00;25.47;DEFAULT_VEHTYPE;;1;1.00
231.00;1196782590#0_1;181.75;15.32;62.00;0.80;14858868_0;5.10;0.00;tripinfo_34 routing_34;169.00;34;1;1368.66;1.15;0.00;56.65;DEFAULT_VEHTYPE;;2;35.00
232.00;31427257#0_0;40.28;13.63;121.00;0.40;-4726710#1_0;5.10;0.00;tripinfo_67 routing_67;111.00;67;1;384.33;1.02;0.00;53.71;DEFAULT_VEHTYPE;;1;37.00
243.00;-13853659#1_0;70.76;4.06;17.00;0.80;628782529#0_0;5.10;0.00;tripinfo_9 routing_9;226.00;9;1;1294.12;0.86;0.00;37.04;DEFAULT_VEHTYPE;;1;11.00
