interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;3600.00;0_to_3600;2;0.68;4;11;-1024105863;0;0;0.68;13;0.30;4.48;63.66;6.94;0.83;10.47;3.82;0.00
0.00;3600.00;0_to_3600;0;0.24;2;4;-1106583870;0;0;0.24;6;0.11;13.20;77.79;7.18;0.86;8.88;12.24;0.00
0.00;3600.00;0_to_3600;3;36.60;4;57;-1238600634#0;0;0;36.60;58;1.77;1.19;69.84;4.66;0.56;12.13;0.11;0.00
0.00;3600.00;0_to_3600;7;46.99;1;260;-13853658;0;0;46.99;250;22.60;27.66;7149.17;1.71;0.31;5003.13;26.65;4307.00
0.00;3600.00;0_to_3600;3;2.43;1;38;-13853659#1;0;0;2.43;35;1.14;16.25;618.58;4.66;0.84;81.00;15.17;0.00
0.00;3600.00;0_to_3600;3;0.30;3;5;-13853663;0;0;0.30;5;0.15;19.82;155.87;7.52;0.90;17.05;19.00;0.00
0.00;3600.00;0_to_3600;1;2.88;0;71;-14118784#0;0;0;2.88;70;1.37;15.31;1086.80;7.16;0.86;141.89;14.48;17.00
0.00;3600.00;0_to_3600;0;3.89;5;76;-14118784#1;0;0;3.89;81;1.68;5.23;420.11;6.69;0.80;82.52;4.47;0.00
0.00;3600.00;0_to_3600;1;0.54;3;10;-14858868;0;0;0.54;12;0.25;11.51;147.46;7.07;0.85;17.51;10.66;0.00
0.00;3600.00;0_to_3600;2;0.55;1;14;-150276003#0;0;0;0.55;12;0.26;12.11;171.47;7.54;0.90;16.24;11.43;0.00
0.00;3600.00;0_to_3600;1;0.29;1;7;-150276003#1;0;0;0.29;7;0.14;27.24;216.64;7.77;0.93;17.60;26.60;0.00
0.00;3600.00;0_to_3600;0;0.48;3;8;-15089551;0;0;0.48;11;0.22;7.24;77.41;6.86;0.82;11.53;6.42;0.00
0.00;3600.00;0_to_3600;24;6.96;2;142;-17073048#1;0;0;6.96;119;2.72;3.30;463.17;7.13;0.86;65.35;2.62;0.00
0.00;3600.00;0_to_3600;2;7.07;1;104;-17670100#1;0;0;7.07;103;3.43;21.36;2239.49;4.35;0.52;1057.66;20.68;903.00
0.00;3600.00;0_to_3600;2;8.73;3;100;-17670100#2;0;0;8.73;101;4.26;27.77;2852.94;3.45;0.41;1664.15;27.01;1506.00
0.00;3600.00;0_to_3600;0;2.76;2;61;-231940830#2;0;0;2.76;63;1.34;27.25;1715.04;6.52;0.78;366.59;26.22;104.00
0.00;3600.00;0_to_3600;1;2.57;2;50;-236306864#4;0;0;2.57;51;1.23;18.50;959.78;5.88;0.71;273.12;17.48;91.00
0.00;3600.00;0_to_3600;2;2.64;1;34;-237344387;0;0;2.64;33;1.18;10.55;367.66;4.15;0.75;81.72;9.35;17.00
0.00;3600.00;0_to_3600;1;4.67;2;114;-244422544;0;0;4.67;115;2.22;15.72;1821.78;7.21;0.87;233.62;14.86;11.00
0.00;3600.00;0_to_3600;5;2.59;2;46;-265113917;0;0;2.59;43;1.18;8.52;406.87;5.71;0.69;127.53;7.68;49.00
0.00;3600.00;0_to_3600;4;6.82;1;106;-28575360;0;0;6.82;103;3.13;12.71;1357.28;4.74;0.85;187.09;11.64;0.00
0.00;3600.00;0_to_3600;0;0.66;1;14;-31411680;0;0;0.66;15;0.31;12.03;179.63;6.72;0.81;33.07;11.13;6.00
0.00;3600.00;0_to_3600;3;3.63;2;58;-31411842;0;0;3.63;57;1.71;16.69;997.66;4.87;0.88;144.18;15.75;0.00
0.00;3600.00;0_to_3600;0;0.04;0;1;-31445160#0;0;0;0.04;1;0.02;15.84;15.84;7.50;0.90;1.29;15.07;0.00
0.00;3600.00;0_to_3600;2;1.54;1;13;-31445160#1;0;0;1.54;12;0.75;44.87;623.40;2.62;0.31;411.02;43.70;381.00
0.00;3600.00;0_to_3600;1;4.54;1;74;-31519076;0;0;4.54;74;2.21;38.82;2910.15;4.71;0.85;438.34;37.73;28.00
0.00;3600.00;0_to_3600;1;0.38;2;8;-327412184;0;0;0.38;9;0.18;16.58;163.95;7.46;0.90;17.18;15.61;0.00
0.00;3600.00;0_to_3600;1;0.54;1;11;-33301560;0;0;0.54;11;0.23;4.08;48.21;7.30;0.88;5.44;3.44;0.00
0.00;3600.00;0_to_3600;2;4.87;3;65;-34065519;0;0;4.87;66;2.13;8.49;572.04;4.43;0.80;101.78;7.38;11.00
0.00;3600.00;0_to_3600;1;3.16;2;60;-36786444#2;0;0;3.16;61;1.46;10.16;628.48;5.93;0.71;180.85;9.20;41.00
0.00;3600.00;0_to_3600;5;2.93;3;66;-36786445#2;2;2;1.46;64;0.67;7.79;534.61;7.15;0.86;75.36;7.07;4.00
0.00;3600.00;0_to_3600;1;2.45;0;35;-400062405;0;0;2.45;34;1.05;7.49;261.97;4.64;0.83;35.50;6.42;0.00
0.00;3600.00;0_to_3600;3;0.92;6;17;-40493501#2;0;0;0.92;20;0.44;17.04;386.41;7.17;0.86;45.12;16.21;0.00
0.00;3600.00;0_to_3600;2;0.18;2;3;-40493501#3;0;0;0.18;3;0.09;21.06;103.43;7.75;0.93;11.32;20.45;0.00
0.00;3600.00;0_to_3600;2;0.24;1;5;-40493501#4;0;0;0.24;4;0.11;7.15;41.27;7.44;0.89;4.59;6.47;0.00
0.00;3600.00;0_to_3600;2;3.22;3;42;-414404581;0;0;3.22;43;1.46;8.65;385.71;4.42;0.53;179.24;7.72;73.00
0.00;3600.00;0_to_3600;3;2.25;0;52;-450925440;0;0;2.25;49;0.99;5.97;309.48;7.23;0.87;33.00;5.16;0.00
0.00;3600.00;0_to_3600;0;22.45;84;0;-4726710#1;0;0;22.45;77;11.12;61.70;4546.99;0.99;0.18;3723.35;60.62;3423.00
0.00;3600.00;0_to_3600;1;1.52;3;19;-4726711#0;0;0;1.52;21;0.74;31.95;697.11;4.14;0.50;342.42;31.10;301.00
0.00;3600.00;0_to_3600;0;0.55;1;13;-4726711#1;0;0;0.55;14;0.26;12.26;170.97;7.39;0.89;17.50;11.60;0.00
0.00;3600.00;0_to_3600;4;0.93;7;17;-4730648#1;0;0;0.93;20;0.45;20.14;477.51;7.35;0.88;51.78;19.23;0.00
0.00;3600.00;0_to_3600;2;1.19;0;21;-4730648#2;0;0;1.19;19;0.39;1.92;40.35;7.49;0.90;3.96;1.25;0.00
0.00;3600.00;0_to_3600;6;2.43;4;39;-47446166;0;0;2.43;37;0.93;2.96;123.63;6.46;0.78;24.91;2.21;0.00
0.00;3600.00;0_to_3600;3;29.01;3;162;-47895849#1;0;0;29.01;150;14.29;72.86;11661.22;1.60;0.29;8264.98;71.47;7186.00
0.00;3600.00;0_to_3600;2;7.72;4;111;-47895849#2;0;0;7.72;112;3.40;8.77;999.03;4.67;0.84;152.86;7.71;0.00
0.00;3600.00;0_to_3600;1;7.13;1;111;-47896065;0;0;7.13;111;3.31;14.93;1670.64;4.70;0.84;247.59;13.86;0.00
0.00;3600.00;0_to_3600;1;66.73;1;249;-507534348#1;0;0;66.73;245;31.27;36.09;8943.98;1.17;0.14;7678.45;32.21;6278.00
0.00;3600.00;0_to_3600;0;19.51;4;202;-510702678#1;0;0;19.51;205;9.45;26.65;5481.98;3.12;0.37;3406.38;25.66;2322.00
0.00;3600.00;0_to_3600;2;3.49;7;76;-524150326#0;0;0;3.49;81;1.61;8.94;735.75;7.11;0.85;100.17;8.25;0.00
0.00;3600.00;0_to_3600;1;6.35;4;81;-524150333#1;0;0;6.35;79;3.11;34.20;2854.91;3.80;0.46;1534.23;33.47;1342.00
0.00;3600.00;0_to_3600;53;2.16;0;53;-524150338#1;0;0;1.08;0;0.49;5.32;268.94;7.46;0.90;25.59;4.65;0.00
0.00;3600.00;0_to_3600;4;3.15;1;78;-524150347#1;0;0;3.15;74;1.49;13.37;1041.75;7.25;0.87;119.59;12.68;0.00
0.00;3600.00;0_to_3600;3;3.57;6;48;-5450858#1;0;0;3.57;51;1.73;27.29;1465.14;4.36;0.52;680.66;26.22;432.00
0.00;3600.00;0_to_3600;2;2.73;4;63;-628755543;0;0;2.73;65;1.24;7.03;468.02;7.48;0.90;49.27;6.37;0.00
0.00;3600.00;0_to_3600;2;4.30;6;73;-628755544#4;0;0;4.30;76;2.09;27.51;2150.51;5.23;0.63;805.88;26.40;445.00
0.00;3600.00;0_to_3600;0;3.71;0;64;-628755546#4;0;0;3.71;64;1.69;9.00;576.05;5.35;0.64;205.73;8.07;57.00
0.00;3600.00;0_to_3600;3;2.64;2;61;-628755547#5;0;0;2.64;59;1.27;34.44;2162.81;6.76;0.81;395.69;32.97;66.00
0.00;3600.00;0_to_3600;2;2.64;2;66;-628757206#2;0;0;2.64;66;1.26;14.88;1009.55;7.48;0.90;100.94;14.22;0.00
0.00;3600.00;0_to_3600;1;6.76;4;80;-70724345;0;0;6.76;83;3.26;23.87;1998.67;3.65;0.44;1118.96;22.79;792.00
0.00;3600.00;0_to_3600;4;11.44;1;204;-781742860#0;0;0;11.44;197;5.52;23.85;4857.41;5.16;0.62;1815.38;22.82;777.00
0.00;3600.00;0_to_3600;5;12.53;0;210;-781742860#1;0;0;12.53;203;5.77;9.69;2027.21;5.15;0.62;762.65;8.78;232.00
0.00;3600.00;0_to_3600;3;13.37;3;234;-781742860#3;0;0;13.37;232;5.98;8.07;1905.97;5.52;0.66;626.74;7.22;154.00
0.00;3600.00;0_to_3600;2;10.75;2;236;-781742860#4;0;0;10.75;234;5.16;19.83;4694.20;6.37;0.76;1075.55;18.93;245.00
0.00;3600.00;0_to_3600;3;0.55;4;9;-832487280;0;0;0.55;10;0.25;8.18;102.94;7.01;0.84;17.15;7.38;0.00
0.00;3600.00;0_to_3600;4;4.40;0;113;-832629331#0;0;0;4.40;108;2.11;16.95;1899.96;7.37;0.88;198.14;16.27;0.00
0.00;3600.00;0_to_3600;3;3.18;1;55;-8382447#0;0;0;3.18;53;1.05;1.95;107.02;7.36;0.88;11.75;1.27;0.00
0.00;3600.00;0_to_3600;2;3.16;1;74;-8382447#3;0;0;3.16;73;1.50;14.69;1100.94;6.93;0.83;170.45;13.93;20.00
0.00;3600.00;0_to_3600;2;1.05;2;25;-8384914;0;0;1.05;25;0.49;10.84;291.24;7.58;0.91;28.27;10.19;0.00
0.00;3600.00;0_to_3600;1;2.95;4;72;-875772621#0;0;0;2.95;75;1.45;36.34;2758.33;7.28;0.87;305.64;35.47;0.00
0.00;3600.00;0_to_3600;2;2.76;4;58;-900443644#2;0;0;2.76;60;1.17;4.23;258.83;7.35;0.88;30.42;3.56;0.00
0.00;3600.00;0_to_3600;0;132.42;69;0;-96016135;0;0;132.42;68;29.41;24.07;1077.34;0.30;0.05;1029.83;;957.00
0.00;3600.00;0_to_3600;1;2.94;1;64;1024105863;0;0;2.94;64;1.22;4.26;276.30;7.30;0.88;30.75;3.59;0.00
