tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
70.00;395073288_0;125.11;7.37;15.00;0.60;1188284582#2_0;5.10;0.00;tripinfo_8 routing_8;55.00;8;1;411.54;0.94;0.00;13.82;DEFAULT_VEHTYPE;;1;3.00
92.00;839709054_0;133.62;14.20;74.00;0.20;410939625_0;5.10;0.00;tripinfo_41 routing_41;18.00;41;0;205.37;1.10;0.00;4.13;DEFAULT_VEHTYPE;;0;0.00
95.00;-36786445#2_0;50.71;8.09;36.00;0.00;17073048#0_0;5.10;0.00;tripinfo_20 routing_20;59.00;20;1;435.69;1.02;0.00;7.09;DEFAULT_VEHTYPE;;0;0.00
108.00;36801001#1_0;73.19;14.14;87.00;0.60;963479927#0_0;5.10;0.00;tripinfo_48 routing_48;21.00;48;1;253.26;1.09;0.00;3.64;DEFAULT_VEHTYPE;;0;0.00
123.00;1196782590#0_1;181.75;15.97;72.00;0.00;395800497#0_0;5.10;0.00;tripinfo_40 routing_40;51.00;40;0;248.83;1.18;0.00;33.72;DEFAULT_VEHTYPE;;1;25.00
125.00;31411680_0;75.80;9.69;60.00;0.60;1198625658_0;5.10;0.00;tripinfo_33 routing_33;65.00;33;1;536.42;1.18;0.00;8.93;DEFAULT_VEHTYPE;;0;0.00
141.00;856293285#1_0;473.70;15.46;98.00;0.80;31389787#2_0;5.10;0.00;tripinfo_54 routing_54;43.00;54;1;608.03;1.17;0.00;4.45;DEFAULT_VEHTYPE;;0;0.00
147.00;14858640_0;11.76;7.88;22.00;0.40;96016135_0;3.42;0.00;tripinfo_12 routing_12;125.00;12;1;935.42;1.05;0.00;29.66;DEFAULT_VEHTYPE;;2;9.00
155.00;30239233#0_0;39.55;7.95;69.00;0.60;839709051_0;5.10;0.00;tripinfo_38 routing_38;86.00;38;1;1035.53;1.02;0.00;8.55;DEFAULT_VEHTYPE;;0;0.00
187.00;-524150338#1_0;34.65;8.50;6.00;0.60;8384893#1_0;5.10;0.00;tripinfo_3 routing_3;181.00;3;1;1381.73;1.08;0.00;26.80;DEFAULT_VEHTYPE;;1;9.00
192.00;856293283_0;101.44;12.14;47.00;0.20;13654453_0;5.10;0.00;tripinfo_26 routing_26;145.00;26;1;1652.42;0.92;0.00;14.85;DEFAULT_VEHTYPE;;0;0.00
205.00;31512978#0_0;13.66;8.25;78.00;0.60;963479927#0_0;5.10;0.00;tripinfo_43 routing_43;127.00;43;1;1279.00;1.03;0.00;13.89;DEFAULT_VEHTYPE;;0;0.00
228.00;-28575360_0;55.32;5.49;8.00;0.80;29000804.26_0;5.10;0.00;tripinfo_4 routing_4;220.00;4;1;1577.12;1.03;0.00;26.18;DEFAULT_VEHTYPE;;1;1.00
232.00;31427257#0_0;40.28;12.87;121.00;0.40;-4726710#1_0;5.10;0.00;tripinfo_67 routing_67;111.00;67;1;384.33;1.02;0.00;53.84;DEFAULT_VEHTYPE;;1;39.00
233.00;1196782590#0_1;181.75;15.58;62.00;0.80;14858868_0;5.10;0.00;tripinfo_34 routing_34;171.00;34;1;1368.66;1.15;0.00;58.78;DEFAULT_VEHTYPE;;2;25.00
243.00;-13853659#1_0;70.76;3.83;17.00;0.80;628782529#0_0;5.10;0.00;tripinfo_9 routing_9;226.00;9;1;1294.12;0.86;0.00;37.47;DEFAULT_VEHTYPE;;1;12.00
250.00;410939625_0;76.53;12.89;33.00;0.60;628782529#0_0;5.10;0.00;tripinfo_18 routing_18;217.00;18;1;1915.51;0.94;0.00;46.28;DEFAULT_VEHTYPE;;2;18.00
255.00;36801001#1_0;73.19;11.96;111.00;1.20;625259600_0;5.10;0.00;tripinfo_61 routing_61;144.00;61;1;1341.59;0.90;0.00;34.82;DEFAULT_VEHTYPE;;1;18.00
256.00;393494867_0;128.13;15.70;35.00;0.80;7682864#2_0;5.10;0.00;tripinfo_19 routing_19;221.00;19;1;1943.28;1.16;0.00;49.47;DEFAULT_VEHTYPE;;3;20.00
258.00;1156337042_0;93.15;6.92;45.00;0.00;180020059#1_0;5.10;0.00;tripinfo_25 routing_25;213.00;25;1;1273.10;0.87;0.00;37.35;DEFAULT_VEHTYPE;;2;11.00
261.00;4441063_0;97.98;10.76;94.00;0.40;13654453_0;5.10;0.00;tripinfo_52 routing_52;167.00;52;1;1816.08;0.85;0.00;12.39;DEFAULT_VEHTYPE;;0;0.00
266.00;510481270_0;24.43;7.30;27.00;0.00;628782529#0_0;5.10;0.00;tripinfo_15 routing_15;239.00;15;1;1225.99;0.93;0.00;84.33;DEFAULT_VEHTYPE;;3;54.00
266.00;839709054_0;133.62;12.22;180.00;0.00;963479927#0_0;5.10;0.00;tripinfo_100 routing_100;86.00;100;1;724.51;0.89;0.00;26.75;DEFAULT_VEHTYPE;;2;11.00
267.00;117055114#0_0;42.57;7.88;40.00;0.40;-4726710#1_0;5.10;0.00;tripinfo_22 routing_22;227.00;22;1;1931.97;0.97;0.00;50.07;DEFAULT_VEHTYPE;;1;28.00
268.00;37535329#0_0;0.20;7.02;92.00;0.20;507818916_0;5.10;0.00;tripinfo_51 routing_51;176.00;51;1;1148.35;0.88;0.00;17.31;DEFAULT_VEHTYPE;;0;0.00
268.00;30239233#0_0;39.55;7.39;170.00;0.80;1188284582#2_0;5.10;0.00;tripinfo_94 routing_94;98.00;94;1;350.31;1.00;0.00;63.93;DEFAULT_VEHTYPE;;2;51.00
270.00;510481270_0;24.43;6.80;132.00;0.60;33301560_0;5.10;0.00;tripinfo_73 routing_73;138.00;73;1;651.79;0.91;0.00;51.57;DEFAULT_VEHTYPE;;2;34.00
270.00;900443644#0_0;26.04;7.23;193.00;0.40;96016135_0;3.42;0.00;tripinfo_107 routing_107;77.00;107;1;488.34;1.01;0.00;15.69;DEFAULT_VEHTYPE;;1;3.00
276.00;-236306864#4_0;103.74;8.72;0.00;0.00;4730616#1_0;0.67;0.00;tripinfo_0 routing_0;276.00;0;1;2154.82;1.06;0.00;30.62;DEFAULT_VEHTYPE;;1;1.00
276.00;-400062405_0;29.73;4.81;80.00;0.80;-4730648#1_0;5.10;0.00;tripinfo_44 routing_44;196.00;44;1;1310.26;0.96;0.00;22.19;DEFAULT_VEHTYPE;;0;0.00
277.00;393494867_0;128.13;11.85;31.00;0.40;181218814#1_0;5.10;0.00;tripinfo_17 routing_17;246.00;17;1;1986.47;0.94;0.00;30.62;DEFAULT_VEHTYPE;;1;1.00
278.00;19846527#0_0;98.85;8.21;67.00;0.40;4730636_0;5.10;0.00;tripinfo_37 routing_37;211.00;37;1;1319.12;0.99;0.00;41.89;DEFAULT_VEHTYPE;;4;11.00
279.00;4726679#1_0;165.48;7.49;135.00;0.00;963479927#0_0;5.10;0.00;tripinfo_75 routing_75;144.00;75;1;1258.23;1.02;0.00;32.58;DEFAULT_VEHTYPE;;1;11.00
283.00;117055114#0_0;42.57;7.40;2.00;0.20;137238867#0_0;5.10;0.00;tripinfo_1 routing_1;281.00;1;1;3057.30;0.94;0.00;28.81;DEFAULT_VEHTYPE;;0;0.00
291.00;180156396#0_0;36.55;7.05;53.00;0.80;-96016135_0;2.26;0.00;tripinfo_29 routing_29;238.00;29;1;1701.19;0.93;0.00;45.41;DEFAULT_VEHTYPE;;2;10.00
292.00;4730636_0;92.74;5.94;20.00;2.00;628782529#0_0;5.10;0.00;tripinfo_10 routing_10;272.00;10;1;2445.47;1.09;0.00;61.33;DEFAULT_VEHTYPE;;2;12.00
292.00;410939626_0;0.20;14.26;215.00;0.80;4392761#2_0;5.10;0.00;tripinfo_119 routing_119;77.00;119;1;640.28;1.03;0.00;29.98;DEFAULT_VEHTYPE;;1;20.00
293.00;180156396#1_0;131.14;8.04;85.00;0.40;-4726710#1_0;5.10;0.00;tripinfo_47 routing_47;208.00;47;1;1489.27;1.04;0.00;50.40;DEFAULT_VEHTYPE;;2;19.00
297.00;4392761#0_1;50.23;14.54;81.00;0.00;-628755544#4_0;5.10;0.00;tripinfo_45 routing_45;216.00;45;1;1236.12;1.09;0.00;122.96;DEFAULT_VEHTYPE;;4;94.00
