interval_begin;interval_end;interval_id;edge_arrived;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_left;edge_sampledSeconds
0.00;3600.00;0_to_3600;0;0;0;-1000933268;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1006106056#0;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1006106056#1;0;0;0;0.00
0.00;3600.00;0_to_3600;5;6;43;-1024105863;0;0;43;491.90
0.00;3600.00;0_to_3600;4;4;23;-1037986847;2;2;23;63.41
0.00;3600.00;0_to_3600;0;0;0;-1056901981#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1058267556#0;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1058267556#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1059828488;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1059828490;0;0;0;0.00
0.00;3600.00;0_to_3600;1;3;56;-1066438511#1;0;0;58;534.29
0.00;3600.00;0_to_3600;0;4;78;-1066478854#1;0;0;82;845.00
0.00;3600.00;0_to_3600;2;3;8;-1080960154#1;0;0;9;423.82
0.00;3600.00;0_to_3600;0;8;0;-1083809476#2;0;0;8;112.57
0.00;3600.00;0_to_3600;0;0;0;-1089556862;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1092037414;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1092277111#0;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1092277112;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1092277114#0;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1092277114#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1099375861;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1104041094;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1104477172;0;0;0;0.00
0.00;3600.00;0_to_3600;4;4;13;-1106583870;0;0;13;218.45
0.00;3600.00;0_to_3600;0;0;0;-1109746214;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1109746215;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1112471208;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1127569560;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1143919181;0;0;0;0.00
0.00;3600.00;0_to_3600;8;3;25;-1156329250;0;0;20;23.56
0.00;3600.00;0_to_3600;0;0;0;-1156337048;0;0;0;0.00
0.00;3600.00;0_to_3600;4;8;24;-1167764376;0;0;28;326.96
0.00;3600.00;0_to_3600;0;0;0;-1174838574;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1189500284;0;0;0;0.00
0.00;3600.00;0_to_3600;3;4;91;-119180342#1;5;5;92;123.63
0.00;3600.00;0_to_3600;9;5;75;-121794822#1;0;0;71;2586.79
0.00;3600.00;0_to_3600;4;4;63;-121794822#3;0;0;63;509.00
0.00;3600.00;0_to_3600;1;2;34;-121794822#5;0;0;35;416.53
0.00;3600.00;0_to_3600;1;6;20;-121794822#7;0;0;25;187.77
0.00;3600.00;0_to_3600;2;3;15;-121794822#9;0;0;16;108.39
0.00;3600.00;0_to_3600;0;13;0;-121794824;0;0;13;515.33
0.00;3600.00;0_to_3600;3;5;62;-121794825#0;0;0;64;202.82
0.00;3600.00;0_to_3600;1;6;30;-121794825#2;0;0;35;937.72
0.00;3600.00;0_to_3600;0;12;0;-121794825#3;0;0;12;43.83
0.00;3600.00;0_to_3600;3;2;11;-121794827;0;0;10;435.00
0.00;3600.00;0_to_3600;1;5;28;-1230294701;0;0;32;759.28
0.00;3600.00;0_to_3600;0;0;0;-1236138839;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1236138842;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1236456856;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1238081828#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1239207127#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1239219872#1;0;0;0;0.00
