interval_begin;interval_end;interval_id;edge_arrived;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_left;edge_sampledSeconds
3600.00;7200.00;3600_to_7200;0;0;0;-1000933268;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1006106056#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1006106056#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;4;7;33;-1024105863;0;0;36;727.58
3600.00;7200.00;3600_to_7200;1;4;13;-1037986847;0;0;16;52.69
3600.00;7200.00;3600_to_7200;0;0;0;-1056901981#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1058267556#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1058267556#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1059828488;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1059828490;0;0;0;0.00
3600.00;7200.00;3600_to_7200;1;4;34;-1066438511#1;0;0;37;357.55
3600.00;7200.00;3600_to_7200;3;5;61;-1066478854#1;0;0;63;689.72
3600.00;7200.00;3600_to_7200;1;3;8;-1080960154#1;0;0;10;416.29
3600.00;7200.00;3600_to_7200;0;11;0;-1083809476#2;0;0;11;129.83
3600.00;7200.00;3600_to_7200;0;0;0;-1089556862;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1092037414;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1092277111#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1092277112;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1092277114#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1092277114#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1099375861;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1104041094;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1104477172;0;0;0;0.00
3600.00;7200.00;3600_to_7200;2;6;6;-1106583870;0;0;10;160.69
3600.00;7200.00;3600_to_7200;0;0;0;-1109746214;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1109746215;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1112471208;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1127569560;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1143919181;0;0;0;0.00
3600.00;7200.00;3600_to_7200;6;3;15;-1156329250;0;0;12;15.27
3600.00;7200.00;3600_to_7200;0;0;0;-1156337048;0;0;0;0.00
3600.00;7200.00;3600_to_7200;3;3;18;-1167764376;0;0;18;218.57
3600.00;7200.00;3600_to_7200;0;0;0;-1174838574;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1189500284;0;0;0;0.00
3600.00;7200.00;3600_to_7200;2;5;73;-119180342#1;4;4;76;103.38
3600.00;7200.00;3600_to_7200;2;3;17;-121794822#1;0;0;18;614.37
3600.00;7200.00;3600_to_7200;6;5;39;-121794822#3;0;0;38;324.48
3600.00;7200.00;3600_to_7200;1;5;12;-121794822#5;0;0;16;190.20
3600.00;7200.00;3600_to_7200;1;2;13;-121794822#7;0;0;14;109.71
3600.00;7200.00;3600_to_7200;2;7;12;-121794822#9;0;0;17;101.30
3600.00;7200.00;3600_to_7200;0;11;0;-121794824;0;0;10;404.40
3600.00;7200.00;3600_to_7200;1;7;40;-121794825#0;0;0;46;166.84
3600.00;7200.00;3600_to_7200;3;4;26;-121794825#2;0;0;27;1001.52
3600.00;7200.00;3600_to_7200;0;5;0;-121794825#3;0;0;5;11.93
3600.00;7200.00;3600_to_7200;4;2;21;-121794827;0;0;19;750.08
3600.00;7200.00;3600_to_7200;1;0;27;-1230294701;0;0;21;8648.80
3600.00;7200.00;3600_to_7200;0;0;0;-1236138839;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1236138842;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1236456856;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1238081828#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1239207127#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1239219872#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1245256709;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1245258622;0;0;0;0.00
3600.00;7200.00;3600_to_7200;3;0;3;-1263793722#2;0;0;0;56.58
3600.00;7200.00;3600_to_7200;1;6;5;-1263793723;0;0;9;1663.44
3600.00;7200.00;3600_to_7200;6;9;23;-1267194155#2;0;0;26;555.03
3600.00;7200.00;3600_to_7200;0;0;0;-1305384085;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1305393686;0;0;0;0.00
3600.00;7200.00;3600_to_7200;4;2;33;-1307684786#1;0;0;24;1404.25
3600.00;7200.00;3600_to_7200;0;0;0;-131916344;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-131916348#3;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-131954303;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132043932;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132043933;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132043934#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132043934#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;3;8;149;-132148870#1;0;0;154;2729.72
3600.00;7200.00;3600_to_7200;3;5;202;-132148870#2;0;0;204;627.69
3600.00;7200.00;3600_to_7200;0;0;0;-132376877;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132453746;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132453750#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132453751;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132453755;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132453762;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132928975;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-13548482#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-13548482#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-137118865;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-137419461#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-137419461#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-137419461#2;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-137634033;0;0;0;0.00
3600.00;7200.00;3600_to_7200;5;0;5;-13764245#1;0;0;0;144.48
3600.00;7200.00;3600_to_7200;0;8;0;-13764247#1;0;0;7;469.96
3600.00;7200.00;3600_to_7200;4;3;85;-13764389;0;0;84;90.77
3600.00;7200.00;3600_to_7200;2;2;243;-13853658;0;0;244;2521.77
3600.00;7200.00;3600_to_7200;4;7;87;-13853659#0;0;0;91;711.07
3600.00;7200.00;3600_to_7200;1;5;83;-13853659#1;0;0;87;585.91
3600.00;7200.00;3600_to_7200;4;3;4;-13853663;0;0;3;146.38
3600.00;7200.00;3600_to_7200;0;0;0;-138717593#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-138717593#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-138748684;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-138748689;0;0;0;0.00
3600.00;7200.00;3600_to_7200;1;9;58;-14118784#0;0;0;65;1027.59
3600.00;7200.00;3600_to_7200;3;5;60;-14118784#2;0;0;62;1189.97
3600.00;7200.00;3600_to_7200;0;5;8;-14362916#1;0;0;13;346.74
3600.00;7200.00;3600_to_7200;0;0;0;-14475193#5;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;10;0;-145550725#1;0;0;10;357.92
3600.00;7200.00;3600_to_7200;4;0;4;-14858868;0;0;0;44.37
3600.00;7200.00;3600_to_7200;6;0;6;-150275972;0;0;0;80.35
3600.00;7200.00;3600_to_7200;3;3;60;-150275984#0;0;0;60;664.83
3600.00;7200.00;3600_to_7200;1;7;54;-150275984#1;0;0;60;269.89
3600.00;7200.00;3600_to_7200;3;7;50;-150275984#2;0;0;54;96.31
3600.00;7200.00;3600_to_7200;0;7;43;-150275984#3;0;0;50;189.88
3600.00;7200.00;3600_to_7200;1;4;40;-150275984#4;0;0;43;222.53
3600.00;7200.00;3600_to_7200;1;7;29;-150275984#6;0;0;35;404.74
3600.00;7200.00;3600_to_7200;6;0;6;-150275985#2;0;0;0;48.40
3600.00;7200.00;3600_to_7200;2;4;155;-150275986#1;0;0;157;2444.06
3600.00;7200.00;3600_to_7200;1;3;200;-150275986#2;0;0;204;1324.49
3600.00;7200.00;3600_to_7200;1;5;196;-150275986#3;0;0;200;443.55
3600.00;7200.00;3600_to_7200;3;6;193;-150275986#4;0;0;196;157.30
3600.00;7200.00;3600_to_7200;2;3;33;-150275988#2;0;0;34;405.69
3600.00;7200.00;3600_to_7200;2;5;30;-150275988#4;0;0;33;233.55
3600.00;7200.00;3600_to_7200;4;4;30;-150275988#5;0;0;30;364.63
3600.00;7200.00;3600_to_7200;0;0;0;-150275992#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;3;5;37;-150276003#1;0;0;34;5265.43
3600.00;7200.00;3600_to_7200;1;5;19;-150276003#2;0;0;23;653.84
3600.00;7200.00;3600_to_7200;2;8;18;-15089551;0;0;24;202.60
3600.00;7200.00;3600_to_7200;0;6;0;-155472436#1;0;0;6;103.19
3600.00;7200.00;3600_to_7200;0;0;0;-159636087;0;0;0;0.00
3600.00;7200.00;3600_to_7200;4;3;88;-17073048#1;0;0;87;252.98
3600.00;7200.00;3600_to_7200;0;0;0;-175976586#3;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-175976586#5;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-175976586#7;0;0;0;0.00
3600.00;7200.00;3600_to_7200;5;4;11;-17670100#4;0;0;9;330.35
3600.00;7200.00;3600_to_7200;0;0;0;-17670100#6;0;0;0;0.00
3600.00;7200.00;3600_to_7200;6;6;16;-17671153;0;0;16;40.15
3600.00;7200.00;3600_to_7200;2;2;61;-220267104#1;0;0;61;1323.79
3600.00;7200.00;3600_to_7200;0;8;113;-220267105#0;0;0;117;3875.56
3600.00;7200.00;3600_to_7200;3;2;102;-220267105#1;0;0;92;10475.76
3600.00;7200.00;3600_to_7200;3;7;166;-220267105#2;0;0;160;8572.04
3600.00;7200.00;3600_to_7200;4;3;164;-220267105#3;0;0;159;2608.88
3600.00;7200.00;3600_to_7200;0;6;163;-220267105#4;0;0;164;2747.29
3600.00;7200.00;3600_to_7200;0;14;0;-220267106#1;0;0;14;799.00
3600.00;7200.00;3600_to_7200;4;4;24;-220267107#0;0;0;23;303.10
3600.00;7200.00;3600_to_7200;3;4;48;-220267107#1;0;0;49;600.53
3600.00;7200.00;3600_to_7200;4;3;42;-220267108#2;0;0;41;304.90
3600.00;7200.00;3600_to_7200;3;4;24;-220267247#0;0;0;25;91.50
3600.00;7200.00;3600_to_7200;4;2;23;-220267247#1;0;0;21;102.31
3600.00;7200.00;3600_to_7200;6;2;27;-220267247#2;0;0;23;32.79
3600.00;7200.00;3600_to_7200;0;13;14;-220267247#5;0;0;27;353.71
3600.00;7200.00;3600_to_7200;1;0;1;-23084263#0;0;0;0;11.46
3600.00;7200.00;3600_to_7200;3;2;8;-23084263#2;0;0;7;84.96
3600.00;7200.00;3600_to_7200;0;1;3;-23084282;0;0;4;96.93
3600.00;7200.00;3600_to_7200;5;0;5;-231475826#2;0;0;0;66.69
3600.00;7200.00;3600_to_7200;0;0;0;-231483332#2;0;0;0;0.00
3600.00;7200.00;3600_to_7200;3;4;141;-231940830#3;0;0;142;4730.81
3600.00;7200.00;3600_to_7200;0;1;10;-236306864#4;0;0;13;214.06
3600.00;7200.00;3600_to_7200;3;5;56;-237344387;0;0;58;742.09
3600.00;7200.00;3600_to_7200;0;0;0;-23912283#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;2;6;14;-239757763;0;0;18;296.56
3600.00;7200.00;3600_to_7200;4;1;57;-239757874#1;0;0;50;2984.79
3600.00;7200.00;3600_to_7200;4;7;18;-239757874#3;0;0;21;55.26
3600.00;7200.00;3600_to_7200;4;7;4;-239758251;0;0;7;255.88
3600.00;7200.00;3600_to_7200;1;3;134;-239923867#1;0;0;109;73975.40
3600.00;7200.00;3600_to_7200;4;5;64;-240549301;0;0;63;2095.03
3600.00;7200.00;3600_to_7200;3;1;30;-244422543#1;0;0;28;536.00
3600.00;7200.00;3600_to_7200;5;1;85;-244422544#1;0;0;77;1877.31
3600.00;7200.00;3600_to_7200;1;2;119;-265113917#1;0;0;123;3084.11
3600.00;7200.00;3600_to_7200;1;3;12;-27807643#2;0;0;14;296.94
3600.00;7200.00;3600_to_7200;1;6;10;-27882418#1;0;0;15;77.51
3600.00;7200.00;3600_to_7200;2;6;101;-27882429#2;0;0;91;8002.92
3600.00;7200.00;3600_to_7200;0;0;0;-28574666#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-28575360;0;0;0;0.00
3600.00;7200.00;3600_to_7200;2;7;124;-290172304;0;0;116;14216.20
3600.00;7200.00;3600_to_7200;3;3;48;-290172305#0;0;0;42;3480.49
3600.00;7200.00;3600_to_7200;5;6;91;-290174549#0;0;0;93;1810.32
3600.00;7200.00;3600_to_7200;1;5;89;-290174549#3;0;0;93;249.16
3600.00;7200.00;3600_to_7200;3;5;12;-29023870#1;0;0;13;828.03
3600.00;7200.00;3600_to_7200;1;3;32;-291949061#2;0;0;28;3448.37
3600.00;7200.00;3600_to_7200;0;0;0;-302657565#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;11;0;-30324793;0;0;11;205.46
3600.00;7200.00;3600_to_7200;6;5;27;-305670610;0;0;26;62.79
3600.00;7200.00;3600_to_7200;0;0;0;-308617262;0;0;0;0.00
3600.00;7200.00;3600_to_7200;6;5;12;-31411680#2;0;0;10;391.77
3600.00;7200.00;3600_to_7200;3;5;80;-31411842#1;0;0;83;1441.62
3600.00;7200.00;3600_to_7200;0;0;0;-31411969;0;0;0;0.00
3600.00;7200.00;3600_to_7200;4;4;47;-31428170#1;0;0;47;1044.89
3600.00;7200.00;3600_to_7200;2;1;211;-31431101#1;0;0;196;34361.70
3600.00;7200.00;3600_to_7200;3;6;178;-31431101#2;0;0;175;9253.24
3600.00;7200.00;3600_to_7200;2;5;182;-31431101#4;0;0;178;13768.09
3600.00;7200.00;3600_to_7200;3;4;183;-31431101#5;0;0;182;5356.00
3600.00;7200.00;3600_to_7200;1;2;16;-31431343#2;0;0;17;191.44
3600.00;7200.00;3600_to_7200;1;3;2;-31445160#0;0;0;4;90.71
3600.00;7200.00;3600_to_7200;1;8;3;-31445160#2;0;0;9;494.16
3600.00;7200.00;3600_to_7200;1;4;125;-31459223#1;0;0;116;14730.48
3600.00;7200.00;3600_to_7200;6;0;6;-31512978#1;0;0;0;15.13
3600.00;7200.00;3600_to_7200;2;6;6;-31512978#2;0;0;10;16.98
3600.00;7200.00;3600_to_7200;0;0;0;-31516327#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-31516327#1;0;0;0;0.00
