tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
72.00;1024105863_0;26.14;7.33;53.00;0.40;745660413#0_0;5.10;0.00;tripinfo_55;19.00;55;0;101.37;0.91;0.00;4.09;DEFAULT_VEHTYPE;;0;0.00
119.00;-781742860#5_0;32.45;6.34;21.00;0.28;1053478469#1_0;5.10;0.00;tripinfo_1;98.00;1;0;647.67;0.89;0.00;9.91;DEFAULT_VEHTYPE;;0;0.00
121.00;4726679#1_0;47.90;7.78;19.00;0.80;606502609_0;0.20;0.00;tripinfo_10;102.00;10;0;533.76;0.99;0.00;12.74;DEFAULT_VEHTYPE;;0;0.00
124.00;23179512#1_0;91.48;9.16;36.00;0.04;963479927#0_0;5.10;0.00;tripinfo_43;88.00;43;0;868.65;1.14;0.00;11.38;DEFAULT_VEHTYPE;;0;0.00
125.00;-510702675#4_0;98.24;6.19;49.00;0.68;231475823#0_0;5.10;0.00;tripinfo_56;76.00;56;0;323.47;0.83;0.00;27.93;DEFAULT_VEHTYPE;;2;15.00
128.00;4730609_1;86.37;7.67;81.00;0.24;305670610_0;4.09;0.00;tripinfo_108;47.00;108;0;514.52;1.04;0.00;5.08;DEFAULT_VEHTYPE;;0;0.00
129.00;-13853659#1_0;26.47;4.83;13.00;0.12;150275991#0_0;5.10;0.00;tripinfo_4;116.00;4;1;854.78;1.03;0.00;13.68;DEFAULT_VEHTYPE;;0;0.00
130.00;450186404_0;75.65;6.91;36.00;0.68;307372339#0_0;5.10;0.00;tripinfo_31;94.00;31;0;516.30;0.86;0.00;21.65;DEFAULT_VEHTYPE;;1;10.00
139.00;628755546#0_0;0.02;4.70;91.00;0.84;14858868_0;5.10;0.00;tripinfo_103;48.00;103;1;259.40;0.88;0.00;11.95;DEFAULT_VEHTYPE;;1;2.00
144.00;-781650841_0;71.98;13.96;70.00;0.12;-8140197#2_0;5.10;0.00;tripinfo_79;74.00;79;0;608.16;1.07;0.00;8.71;DEFAULT_VEHTYPE;;0;0.00
147.00;11294375#0_0;66.35;7.79;25.00;0.88;-8140188#8_0;5.10;0.00;tripinfo_21;122.00;21;0;886.25;0.98;0.00;12.59;DEFAULT_VEHTYPE;;0;0.00
150.00;7682866#2_0;23.46;8.04;104.00;0.40;7682866#0_0;5.10;0.00;tripinfo_130;46.00;130;0;357.27;1.07;0.00;5.06;DEFAULT_VEHTYPE;;0;0.00
158.00;290174551#1_0;5.51;6.56;7.00;0.96;40493501#2_0;5.10;0.00;tripinfo_7;151.00;7;0;878.95;0.83;0.00;16.83;DEFAULT_VEHTYPE;;0;0.00
160.00;14118784#0_0;104.44;6.79;43.00;0.16;-17670100#4_0;5.10;0.00;tripinfo_47;117.00;47;1;764.32;0.90;0.00;13.08;DEFAULT_VEHTYPE;;0;0.00
161.00;8152033#1_0;26.93;7.48;32.00;0.48;31448934#1_0;5.10;0.00;tripinfo_41;129.00;41;0;851.28;0.96;0.00;16.03;DEFAULT_VEHTYPE;;0;0.00
162.00;-1167764376_0;66.38;7.23;15.00;0.52;62020111_0;5.10;0.00;tripinfo_9;147.00;9;0;1265.58;0.98;0.00;22.28;DEFAULT_VEHTYPE;;0;0.00
167.00;-524150311#0_0;13.37;8.25;96.00;0.20;-220267247#5_0;5.10;0.00;tripinfo_115;71.00;115;0;556.30;1.07;0.00;7.87;DEFAULT_VEHTYPE;;0;0.00
168.00;-14118784#2_0;30.19;9.89;36.00;0.24;-8140193#2_0;5.10;0.00;tripinfo_33;132.00;33;0;1175.29;1.23;0.00;15.87;DEFAULT_VEHTYPE;;0;0.00
171.00;510702678#1_0;70.72;7.65;28.00;0.96;628782531_0;5.10;0.00;tripinfo_32;143.00;32;0;1420.05;1.03;0.00;22.90;DEFAULT_VEHTYPE;;1;4.00
180.00;-40493501#3_0;158.42;8.97;66.00;0.32;4760584#0_0;5.10;0.00;tripinfo_69;114.00;69;0;948.51;1.19;0.00;16.64;DEFAULT_VEHTYPE;;0;0.00
